,genre_ids,id,language,title,overview,popularity,release_date,vote_average,vote_count,release_month,release_year,genre
0,"[28, 80, 53]",1197306,en,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",1086.1895,2025-03-26,6.327,402,March,2025,Action+Crime+Thriller
1,"[14, 12, 28]",324544,en,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",546.4711,2025-02-27,6.315,259,February,2025,Action+Adventure+Fantasy
2,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",543.1977,2025-03-31,6.2,692,March,2025,Adventure+Comedy+Family+Fantasy
3,"[28, 53, 878]",822119,en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",376.8807,2025-02-12,6.142,1590,February,2025,Action+Science Fiction+Thriller
4,"[28, 9648, 18]",1045938,en,G20,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",337.4409,2025-04-09,6.675,349,April,2025,Action+Drama+Mystery
5,"[28, 35, 53]",1195506,en,Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",307.4463,2025-03-12,6.866,560,March,2025,Action+Comedy+Thriller
6,"[37, 28]",1293286,en,Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.",292.2274,2025-04-11,6.618,34,April,2025,Action+Western
7,"[27, 28, 53]",1233413,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",266.5366,2025-04-16,7.432,256,April,2025,Action+Horror+Thriller
8,"[27, 9648]",1244944,en,The Woman in the Yard,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.",262.5169,2025-03-27,6.0,89,March,2025,Horror+Mystery
9,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",168.0407,2024-11-21,7.083,2263,November,2024,Adventure+Animation+Comedy+Family
10,[18],615,en,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,165.1957,2004-02-25,7.519,4808,February,2004,Drama
11,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",160.3211,2024-12-18,7.418,2001,December,2024,Adventure+Animation+Family
12,"[18, 53, 9648]",974576,en,Conclave,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",159.9184,2024-10-25,7.191,1968,October,2024,Drama+Mystery+Thriller
13,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",157.3273,2024-12-19,7.734,2452,December,2024,Action+Comedy+Family+Science Fiction
